,Time Stamp,Region,Latitude,Longitude,Risk-Score,Risk-Level
228,03-20-2020,Monterey Park,34.051522,-118.129807,0.09890519872092257,0
229,03-20-2020,North Hollywood,34.1729044,-118.37403710000001,0.9018902696971215,1
230,03-20-2020,Northridge,34.2345615,-118.53693159999999,0.0,0
231,03-20-2020,Pacific Palisades,34.0480643,-118.5264706,0.5342468498930849,1
232,03-20-2020,Palms,34.024732799999995,-118.4116152,0.22601762060729555,1
233,03-20-2020,Park La Brea,34.067401600000004,-118.35523629999999,0.0,0
234,03-20-2020,Playa Vista,33.976010200000005,-118.4181654,0.0,0
235,03-20-2020,Redondo Beach,33.8455911,-118.38867659999998,0.9128520583584426,1
236,03-20-2020,Reseda,34.200078399999995,-118.53698840000001,0.2351475104256068,1
237,03-20-2020,San Dimas,34.1066756,-117.8067257,0.0,0
238,03-20-2020,San Fernando,34.28497,-118.437652,0.0,0
239,03-20-2020,San Pedro,33.7358518,-118.2922934,0.0,0
240,03-20-2020,Santa Clarita,34.3916641,-118.54258600000001,0.4951500320492095,1
241,03-20-2020,Santa Monica,34.019470399999996,-118.4912273,1.3701841990320751,2
242,03-20-2020,Santa Monica Mountains,34.031132,-118.26150700000001,0.0,0
243,03-20-2020,Sherman Oaks,34.1508718,-118.4489865,0.16956945429117512,1
244,03-20-2020,South El Monte,34.0519548,-118.04673390000002,0.0,0
245,03-20-2020,South Whittier,33.9435081,-118.03478270000001,0.36784348976766923,1
246,03-20-2020,Stevenson Ranch,34.3864721,-118.5826635,0.0,0
247,03-20-2020,Studio City,34.148398900000004,-118.39618770000001,0.0,0
248,03-20-2020,Sylmar,34.307625200000004,-118.44921480000001,0.0,0
249,03-20-2020,Tarzana,34.171443599999996,-118.54297890000001,0.0,0
250,03-20-2020,Torrance,33.83584920000001,-118.34062879999999,0.2350517478739612,1
251,03-20-2020,Tujunga,34.252225,-118.2884105,0.02372111158931358,0
252,03-20-2020,University Park,34.027449,-118.2839493,0.12437712184585423,1
253,03-20-2020,Valley Glen,34.182637899999996,-118.41386659999999,0.12520120666125442,1
254,03-20-2020,Van Nuys,34.1866193,-118.4486669,0.6116578334300502,1
255,03-20-2020,Venice,33.995044,-118.4668875,0.3743581642597804,1
256,03-20-2020,Vermont Knolls,33.9668188,-118.29167,0.0,0
257,03-20-2020,Walnut,34.020289399999996,-117.86533859999999,0.0,0
258,03-20-2020,West Adams,34.0294356,-118.35248329999999,0.07738877959453136,0
259,03-20-2020,West Hills,34.2032325,-118.645476,0.0,0
260,03-20-2020,West Hollywood,34.0923014,-118.36928940000001,1.1534133218007239,2
261,03-20-2020,West Los Angeles,34.0463986,-118.44813500000001,0.0,0
262,03-20-2020,West Vernon,34.007135,-118.22525,0.30943636267649854,1
263,03-20-2020,Westchester,33.9597349,-118.40063219999999,0.0,0
264,03-20-2020,Westwood,34.05612070000001,-118.43063470000001,0.6919167475863144,1
265,03-20-2020,Whittier,33.9708782,-118.0308396,0.36784348976766923,1
266,03-20-2020,Winnetka,34.2058826,-118.57093400000001,0.25593227034771654,1
267,03-20-2020,Woodland Hills,34.1684364,-118.6058382,0.42384233850653996,1
268,03-21-2020,Alhambra,34.093042,-118.12706000000001,0.2697239990610946,1
269,03-21-2020,Altadena,34.1863161,-118.13523290000002,0.704588861808365,1
270,03-21-2020,Arcadia,34.136207500000005,-118.0401497,0.17020067539138956,1
271,03-21-2020,Baldwin Hills,34.01098870000001,-118.3370709,0.20711736811090115,1
272,03-21-2020,Beverly Hills,34.0696501,-118.3963062,0.0,0
273,03-21-2020,Beverlywood,34.045933399999996,-118.39492,0.6424991268075058,1
274,03-21-2020,Boyle Heights,34.0436892,-118.20976840000002,0.0,0
275,03-21-2020,Brentwood,34.0521403,-118.4740699,0.0,0
276,03-21-2020,Burbank,34.181648200000005,-118.3258554,0.33094213315448107,1
277,03-21-2020,Calabasas,34.144664299999995,-118.6440973,0.0,0
278,03-21-2020,Carson,33.832204299999994,-118.2517547,0.33593025974935453,1
279,03-21-2020,Castaic,34.488882200000006,-118.6228656,0.09531114405009064,0
280,03-21-2020,Century City,34.057426299999996,-118.4147267,0.4586939943498513,1
281,03-21-2020,Century Palms/Cove,34.062844,-118.41581299999999,0.215461108822669,1
282,03-21-2020,Covina,34.1024,-117.85486499999999,0.30009560334777813,1
283,03-21-2020,Crestview,34.0621851,-118.4250119,0.7050367613614819,1
284,03-21-2020,Culver City,34.021122399999996,-118.3964665,0.0,0
285,03-21-2020,Del Rey,33.9896527,-118.4243437,0.0,0
286,03-21-2020,Diamond Bar,34.02862260000001,-117.81033670000001,0.0,0
287,03-21-2020,Eagle Rock,34.1366877,-118.20767959999999,0.15889791054440205,1
288,03-21-2020,East Los Angeles,34.0239015,-118.17201570000002,0.3765782472955705,1
289,03-21-2020,Echo Park,34.0779819,-118.2567824,0.0,0
290,03-21-2020,El Segundo,33.917028,-118.4156337,0.0,0
291,03-21-2020,Encino,34.1591324,-118.50161659999999,2.555996642670732,3
292,03-21-2020,Gardena,33.8963593,-118.3053037,0.03640374286394895,0
293,03-21-2020,Glendale,34.146941600000005,-118.24784709999999,1.1421366195949623,2
294,03-21-2020,Granada Hills,34.26615579999999,-118.5174342,0.1347586208166643,1
295,03-21-2020,Hancock Park,34.0677881,-118.33257649999999,0.5398405448519301,1
296,03-21-2020,Hawthorne,33.9188589,-118.34832560000001,0.0,0
297,03-21-2020,Hollywood,34.0980031,-118.32952320000001,1.4494123374908545,2
298,03-21-2020,Hollywood Hills,34.1311792,-118.33554740000001,1.1052287905879115,2
299,03-21-2020,Inglewood,33.9562003,-118.353132,0.6924262035953997,1
300,03-21-2020,La Canada Flintridge,34.1998302,-118.2005236,0.0,0
301,03-21-2020,La Mirada,33.906097100000004,-118.0107092,0.0,0
